结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-02-27 17:00:00.451683,广东铁通6-gzdx01(shrs)电信出口,222.50.124.130,NULL,新浪,www.sina.com.cn,网页类,0.45,31.86,32.68,231.23,7744.19,9949.76,11116.42,75.83,56.9,100.00,100.00,100.00,100.00,100.00,211.98.132.67,中国,北京, 铁通,587.3,555.2,200,50,93
2013-02-27 17:00:01.325028,广东铁通4-gzlt01(tplh)联通出口,123.89.176.30,NULL,工商银行,www.icbc.com.cn,网页类,0.49,61.33,62.36,124.82,187.08,311.07,311.07,25.78,61.9,100.00,100.00,100.00,100.00,100.00,113.31.42.29,中国,北京, 其它运营商,4.8,3.9,200,2,2
2013-02-27 17:00:08.373474,广东铁通2-zhdx01(hxtl)电信出口,222.50.124.54,NULL,环球网,www.huanqiu.com,网页类,0.44,54.13,54.54,327.58,3779.65,5087.94,5623.35,74.03,60.7,100.00,100.00,100.00,100.00,100.00,125.39.187.20,中国,天津, 联通,279.8,266.0,200,37,37
2013-02-27 17:00:08.528403,广东铁通5-qylt02(xhht)联通出口,222.50.124.106,NULL,土豆网,www.tudou.com,网页类,0.23,100.34,99.15,602.57,1175.01,883.51,1538.98,224.48,80.7,100.00,4.73,100.00,4.73,0.00,123.126.98.146,中国,北京, 联通,263.8,261.5,200,50,148
2013-02-27 17:00:08.632691,广东铁通1-fsrj01(dx)电信出口,222.50.124.2,NULL,yngxxx.com,yngxxx.com,广东铁通TOPn网站,0.26,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,113.107.108.37,中国,广东, 电信,NULL,0.0,400,1,1
2013-02-27 17:00:12.268763,广东铁通1-zsdx01(ncda)电信出口,222.50.124.26,NULL,imshell.com,imshell.com,广东铁通TOPn网站,0.50,9.52,9.86,19.88,9.86,19.88,19.88,87.66,77.5,100.00,100.00,100.00,100.00,100.00,121.12.172.101,中国,广东, 电信,0.9,0.8,200,1,1
2013-02-27 17:00:23.643389,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,vpon.com,vpon.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-27 17:00:24.429400,广东铁通3-qylt01(gzhy)联通出口,222.50.124.78,NULL,天空软件站,www.skycn.com,下载类,0.43,52.02,53.10,315.24,5053.36,6267.91,6738.54,73.61,59.1,100.00,100.00,100.00,100.00,100.00,125.39.78.230,中国,天津, 联通,372.0,363.5,200,28,28
2013-02-27 17:00:24.460977,广东铁通6-gxyn01(dx)电信出口,222.50.124.22,NULL,安卓商城官网,https://play.google.com/store,网页类,0.26,347.20,322.48,786.37,5268.85,13008.51,15524.12,103.65,51.3,100.00,95.00,100.00,95.00,100.00,74.125.235.201,美国,NULL, 其它运营商,546.1,442.8,200,40,40
2013-02-27 17:00:25.998544,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,idreamsky.com,idreamsky.com,广东铁通TOPn网站,0.22,83.71,151.43,402.95,5910.31,9015.67,9835.04,172.21,69.1,100.00,100.00,100.00,100.00,100.00,124.172.236.21,中国,广东, 铁通,1017.8,4023.0,200,50,78
