结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-05-18 00:00.,2018,222.50.124.114,NULL,cntv.cn,cntv.cn,广东铁通TOPn网站,0.26,32.53,31.92,251.65,6647.85,8883.42,10028.05,113.63,64.2,100,99.07,100,99.07,100,202.108.8.82,中国,北京, 联通,755.4,715.1,301,50,107
2013-05-18 00:00.,2017,222.50.124.110,NULL,caijing.com.cn,caijing.com.cn,NULL,0.39,30.05,30.32,372.41,5483.48,7012.3,8299.75,99.73,65.7,100,73.03,100,73.03,0,118.26.205.30,中国,上海, 铁通,546.9,522.2,302,50,89
2013-05-18 00:00.,1005,222.50.124.34,NULL,8684.cn,8684.cn,NULL,0.25,1.15,105.98,338.15,1616.11,1512.67,1666.76,55.81,64.2,100,100,100,100,100,183.129.194.168,中国,浙江, 电信,90.2,87,301,13,13
2013-05-18 00:00.,1014,222.50.124.30,NULL,sf-express.com,sf-express.com,NULL,0.22,0.89,99.77,384.24,6017.81,5373.73,6097.28,117.78,64.1,100,100,100,100,100,219.134.187.245,中国,广东, 电信,708.8,693,302,50,53
2013-05-18 00:00.,2015,222.50.124.102,NULL,pplive.com,pplive.com,广东铁通TOPn网站,0.24,29.27,29.89,1395.55,1995.32,2334.17,2391.01,251.8,86.2,100,92.86,100,92.86,100,59.151.34.25,中国,北京, 其它运营商,502.4,497.6,301,14,14
2013-05-18 00:00.,1009,222.50.124.50,NULL,55bbs.com,55bbs.com,NULL,0.42,41.71,42.8,312.7,7149.08,9173.72,9693.74,142.74,68.9,100,100,100,100,100,118.67.120.217,中国,北京, 其它运营商,1020.5,1039.9,302,50,60
2013-05-18 00:00.,2018,222.50.124.114,NULL,微博,www.weibo.com,网页类,0.65,39.28,54.53,94.46,457.16,637.73,637.73,121.06,79.9,100,100,100,100,100,180.149.134.17,中国,北京, 电信,55.3,53.6,200,4,4
2013-05-18 00:00.,1008,222.50.124.46,NULL,55bbs.com,55bbs.com,NULL,0.25,63.63,64.61,1819.32,9278.74,12402.28,13023.94,109.94,59.1,100,100,100,100,100,118.67.120.217,中国,北京, 其它运营商,1020.1,1328.5,302,50,59
2013-05-18 00:00.,1008,222.50.124.46,NULL,cs.com.cn,cs.com.cn,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2008,222.50.124.74,NULL,banma.com,banma.com,NULL,0.51,32,32.21,204.38,15960.61,31794.42,33560.46,67.22,49.5,100,99.5,100,99.5,0,119.254.87.88,中国,北京, 其它运营商,1072.9,2588,301,50,200
2013-05-18 00:00.,1013,222.50.124.26,NULL,irs09.com,irs09.com,广东铁通TOPn网站,0.24,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,114.112.32.233,中国,江苏, 移动,NULL,0.2,403,1,1
2013-05-18 00:00.,2014,222.50.124.98,NULL,online.sh.cn,online.sh.cn,NULL,0.62,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,61.152.74.37,中国,上海, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,1012,222.50.124.14,NULL,yoyi.com.cn,yoyi.com.cn,广东铁通TOPn网站,0.36,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,116.213.196.90,中国,北京, 其它运营商,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2007,222.50.124.70,NULL,m18.com,m18.com,NULL,0.42,93.46,638.74,1107.59,1945.52,1918.97,2315.28,115.02,56.2,100,14.29,100,14.29,0,211.172.255.85,韩国,NULL, 其它运营商,223.8,221,200,28,28
2013-05-18 00:00.,1015,222.50.124.54,NULL,linkedin.com,linkedin.com,NULL,0.55,172.86,173.35,1033.3,1609.36,2671.11,2674.43,84.87,59.4,100,100,100,100,100,216.52.242.86,美国,NULL, 其它运营商,136.6,126.9,301,17,17
2013-05-18 00:00.,2018,222.50.124.114,NULL,126.net,126.net,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2002,123.89.176.30,NULL,pomoho.com,pomoho.com,NULL,0.45,34.95,70.84,291.15,3314.54,3771.26,4197.08,159.89,73.5,100,100,100,100,100,115.236.102.39,中国,浙江, 电信,530,522.5,301,22,22
2013-05-18 00:00.,1003,222.50.124.18,NULL,ifeng.com,ifeng.com,广东铁通TOPn网站,0.26,42.52,46.71,398.56,32210.55,46330.07,47463.47,22.31,36.4,100,100,100,100,0,123.125.72.60,中国,北京, 联通,718.7,697.6,200,50,71
2013-05-18 00:00.,1001,222.50.124.2,NULL,yezizhu.com,yezizhu.com,NULL,0.73,5.96,6.41,160.95,2841.82,3890.05,4256.23,368.61,88.5,100,100,100,100,100,206.161.217.77,美国,NULL, 其它运营商,1047.5,1252.7,301,50,115
2013-05-18 00:00.,2010,222.50.124.82,NULL,SERVICE.TOOLS.SDO.COM,SERVICE.TOOLS.SDO.COM,广东铁通TOPn网站,0.48,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,122.226.73.171,中国,浙江, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2010,222.50.124.82,NULL,baihe.com,baihe.com,NULL,0.4,36.88,38.5,224.34,3749.78,4916.12,5238.49,75.95,61.7,100,100,100,100,100,211.151.249.53,中国,北京, 联通,284.8,270.7,200,29,29
2013-05-18 00:00.,1015,222.50.124.54,NULL,lenovo.com,lenovo.com,NULL,0.47,268.32,270.52,1387.76,3548.68,5594.62,5959.48,285.95,70.9,100,100,100,100,100,64.26.251.145,美国,NULL, 其它运营商,1014.7,1102.6,301,38,38
2013-05-18 00:00.,1012,222.50.124.14,NULL,shopex.cn,shopex.cn,NULL,0.4,58.16,66.56,1186.99,6563.92,8220.1,8617.09,154.73,68.6,100,100,100,100,100,101.226.202.41,中国,上海, 电信,1015.6,1086.8,301,35,35
2013-05-18 00:00.,2014,222.50.124.98,NULL,qplus.com,qplus.com,广东铁通TOPn网站,0.35,2.98,14.54,101.3,354.07,439.64,489.35,403.5,94.4,100,100,100,100,100,112.90.143.119,中国,广东, 联通,142.9,140.2,302,10,10
2013-05-18 00:00.,1011,222.50.124.10,NULL,sohu.com,sohu.com,NULL,2.69,44.78,45.24,358.37,4982.74,6989.32,7613.95,109.3,65.6,100,100,100,100,100,61.135.181.176,中国,北京, 联通,544.6,520.2,302,50,70
2013-05-18 00:00.,2001,123.65.232.142,NULL,exam8.com,exam8.com,NULL,0.27,33.32,91.86,516.32,5466.23,7134.87,7787.9,186.77,76.9,100,100,100,100,100,222.73.10.180,中国,上海, 电信,1020.9,1010.3,301,50,68
2013-05-18 00:00.,2012,222.50.124.90,NULL,ebay.com,ebay.com,NULL,0.48,218.07,238.99,1303.73,2538.71,4878.47,4962.07,83.66,55.8,100,100,100,100,100,66.211.160.88,美国,NULL, 其它运营商,212.4,197,301,15,15
2013-05-18 00:00.,1014,222.50.124.30,NULL,jrjimg.cn,jrjimg.cn,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2015,222.50.124.102,NULL,zhubajie.com,zhubajie.com,NULL,0.25,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,219.153.9.11,中国,重庆, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,1011,222.50.124.10,NULL,yezizhu.com,yezizhu.com,NULL,0.5,5.82,5.54,166.89,3105.08,4268.75,4757.49,337.35,88.2,100,100,100,100,100,206.161.217.77,美国,NULL, 其它运营商,1047.5,1252.7,301,50,115
2013-05-18 00:00.,2009,222.50.124.78,NULL,ss3w.com,ss3w.com,广东铁通TOPn网站,0.51,250.33,250.32,1022.48,511.14,1022.48,1022.48,0.27,47.7,100,100,100,100,100,205.178.189.129,美国,NULL, 其它运营商,0.1,NULL,302,2,2
2013-05-18 00:00.,2005,222.50.124.62,NULL,迅雷看看,www.kankan.com,网页类,0.46,5.81,53.65,186.88,1274.41,1094.59,1784.31,470.26,90.5,100,100,100,100,100,58.251.57.175,中国,广东, 联通,599.3,582,200,50,57
2013-05-18 00:00.,2011,222.50.124.86,NULL,dygod.net,dygod.net,NULL,0.44,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,123.183.211.135,中国,河北, 电信,NULL,NULL,NULL,1,1
