结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-03-01 21:00:01.781570,广东铁通2-gzlt02(gzhy)联通出口,222.50.124.74,NULL,tom.com,tom.com,广东铁通TOPn网站,0.43,45.08,53.16,234.64,29047.10,37042.97,38433.24,36.29,36.6,100.00,97.87,100.00,97.87,0.00,202.108.12.62,中国,北京, 联通,1054.2,1182.3,200,50,141
2013-03-01 21:00:03.162209,广东铁通3-huzlt03(bjdx)联通出口,222.50.124.98,NULL,aipai.com,aipai.com,广东铁通TOPn网站,0.22,1.18,100.94,102.34,100.94,102.34,102.34,5.50,62.8,100.00,50.00,100.00,50.00,0.00,121.10.241.89,中国,广东, 电信,0.6,0.2,301,2,2
2013-03-01 21:00:04.149169,广东铁通2-zsdx02(ncda)电信出口,222.50.124.30,NULL,zqlx.com,zqlx.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-03-01 21:00:04.596031,广东铁通3-qylt01(gzhy)联通出口,222.50.124.78,NULL,51.la,51.la,广东铁通TOPn网站,0.49,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,117.21.226.199,中国,江西, 电信,NULL,NULL,NULL,1,1
2013-03-01 21:00:09.671432,广东铁通5-gzlt(asd)联通出口,123.89.176.38,NULL,jrjimg.cn,jrjimg.cn,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-03-01 21:00:09.772853,广东铁通3-huzlt03(bjdx)联通出口,222.50.124.98,NULL,v-56.com,v-56.com,广东铁通TOPn网站,0.49,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,59.32.180.16,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-03-01 21:00:10.119901,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,qiyi.com,qiyi.com,广东铁通TOPn网站,0.49,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,220.181.73.6,中国,北京, 电信,NULL,NULL,NULL,1,1
2013-03-01 21:00:10.278050,广东铁通2-huzlt02(bjdx)联通出口,222.50.124.94,NULL,baofeng.com,baofeng.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-03-01 21:00:10.459314,广东铁通4-zhdx(hyhr)电信出口,222.50.124.14,NULL,51.la,51.la,广东铁通TOPn网站,0.25,36.95,3037.21,3302.75,5918.67,15916.08,16419.92,22.77,38.7,100.00,100.00,100.00,100.00,100.00,117.21.226.199,中国,江西, 电信,134.8,128.5,302,26,26
2013-03-01 21:00:11.266299,广东铁通5-shdx(cdsj)电信出口,222.50.124.18,NULL,yy.com,yy.com,广东铁通TOPn网站,0.23,61.03,79.42,140.68,5027.01,6109.77,6109.77,13.92,52.0,100.00,100.00,100.00,100.00,100.00,61.55.172.36,中国,河北, 联通,70.0,66.9,200,9,9
2013-03-01 21:00:14.631698,广东铁通4-cslt01(bjdx)联通出口,222.50.124.82,NULL,3366.com,3366.com,广东铁通TOPn网站,0.59,4.86,10.14,498.48,31092.92,35450.49,37184.48,15.38,38.6,100.00,97.40,100.00,97.40,0.00,120.198.189.102,中国,广东, 移动,478.4,448.3,301,50,77
2013-03-01 21:00:16.272315,广东铁通3-hzdx02(hyhr)电信出口,222.50.124.10,NULL,synacast.com,synacast.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-03-01 21:00:16.389143,广东铁通5-qylt02(xhht)联通出口,222.50.124.106,NULL,aipai.com,aipai.com,广东铁通TOPn网站,0.24,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,121.10.241.70,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-03-01 21:00:16.476404,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,digieq.com,digieq.com,广东铁通TOPn网站,1.07,NULL,NULL,NULL,75.61,153.34,153.34,34.75,NULL,100.00,50.00,0.00,50.00,0.00,219.232.240.148,中国,北京, 其它运营商,2.6,2.4,403,2,2
